SKU,Attribute_set_code,Name,Brand,Style_code,size,product_type,measuring_unit,price,shape_type,length_type,color,ideal_for,pattern,occasion,brand_color,fabric,pack_of,neck_type,sleeve_length,suitable_for,fabric_care,model_name,pockets,description,search_title,type
KK0003-S,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,S,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-XL,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,XL,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0003-XXL,Default,Light Green Printed A-line Women's Kurti,Kiaasa,KK0003,XXL,simple,Regular,1899,A-line,Calf Length,Green,Women's,Printed,Casual,Light Green,Cotton,1,V-neck,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with nice Embroidery around the neckline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-L,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,L,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-M,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,M,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-S,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,S,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-XL,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,XL,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-XS,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,XS,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0004-XXL,Default,Yellow Printed A-line Women's Kurti,Kiaasa,KK0004,XXL,simple,Regular,2349,A-line,Calf Length,Pink,Women's,Printed,Casual,Yellow,Rayon Dobby,1,Key Whole,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An elegant Printed kurta with Detailed neckline & sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0005-L,Default,Navy Blue Yarn Dyed Gathered Women's Kurti,Kiaasa,KK0005,L,simple,Regular,1699,Gathered,Knee Length,Blue,Women's,Yarn Dyed,Casual,Navy Blue,Cotton,1,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Look smart in this contemporary front open kurta with detailed sleeves.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
