SKU,Attribute_set_code,Name,Brand,Style_code,size,product_type,measuring_unit,price,shape_type,length_type,color,ideal_for,pattern,occasion,brand_color,fabric,pack_of,neck_type,sleeve_length,suitable_for,fabric_care,model_name,pockets,description,search_title,type
KK0012-M,Default,Light Yellow Printed A-line Women's Kurti,Kiaasa,KK0012,M,simple,Regular,4149,A-line,Calf Length,Yellow,Women's,Printed,Semi Formal,Light Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0012-S,Default,Light Yellow Printed A-line Women's Kurti,Kiaasa,KK0012,S,simple,Regular,4149,A-line,Calf Length,Yellow,Women's,Printed,Semi Formal,Light Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0012-XL,Default,Light Yellow Printed A-line Women's Kurti,Kiaasa,KK0012,XL,simple,Regular,4149,A-line,Calf Length,Yellow,Women's,Printed,Semi Formal,Light Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0012-XXL,Default,Light Yellow Printed A-line Women's Kurti,Kiaasa,KK0012,XXL,simple,Regular,4149,A-line,Calf Length,Yellow,Women's,Printed,Semi Formal,Light Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0013-L,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0013,L,simple,Regular,4149,A-line,Calf Length,Light Blue,Women's,Printed,Semi Formal,Light Blue,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0013-M,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0013,M,simple,Regular,4149,A-line,Calf Length,Light Blue,Women's,Printed,Semi Formal,Light Blue,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0013-S,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0013,S,simple,Regular,4149,A-line,Calf Length,Light Blue,Women's,Printed,Semi Formal,Light Blue,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0013-XL,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0013,XL,simple,Regular,4149,A-line,Calf Length,Light Blue,Women's,Printed,Semi Formal,Light Blue,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0013-XXL,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0013,XXL,simple,Regular,4149,A-line,Calf Length,Light Blue,Women's,Printed,Semi Formal,Light Blue,Cotton,1,"Mandarin Collar

",3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,An ocassion friendly paneled kurta with 3/4th sleeves & beautiful embroidered yoke. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0014-L,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0014,L,simple,Regular,3349,A-line,Calf Length,Blue,Women's,Printed,Casual,Light Blue,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0014-M,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0014,M,simple,Regular,3349,A-line,Calf Length,Blue,Women's,Printed,Casual,Light Blue,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0014-S,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0014,S,simple,Regular,3349,A-line,Calf Length,Blue,Women's,Printed,Casual,Light Blue,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0014-XL,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0014,XL,simple,Regular,3349,A-line,Calf Length,Blue,Women's,Printed,Casual,Light Blue,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0014-XXL,Default,Light Blue Printed A-line Women's Kurti,Kiaasa,KK0014,XXL,simple,Regular,3349,A-line,Calf Length,Blue,Women's,Printed,Casual,Light Blue,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0015-L,Default,Beige Printed A-line Women's Kurti,Kiaasa,KK0015,L,simple,Regular,3349,A-line,Calf Length,Beige,Women's,Printed,Casual,Beige,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0015-M,Default,Beige Printed A-line Women's Kurti,Kiaasa,KK0015,M,simple,Regular,3349,A-line,Calf Length,Beige,Women's,Printed,Casual,Beige,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0015-S,Default,Beige Printed A-line Women's Kurti,Kiaasa,KK0015,S,simple,Regular,3349,A-line,Calf Length,Beige,Women's,Printed,Casual,Beige,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0015-XL,Default,Beige Printed A-line Women's Kurti,Kiaasa,KK0015,XL,simple,Regular,3349,A-line,Calf Length,Beige,Women's,Printed,Casual,Beige,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0015-XXL,Default,Beige Printed A-line Women's Kurti,Kiaasa,KK0015,XXL,simple,Regular,3349,A-line,Calf Length,Beige,Women's,Printed,Casual,Beige,Cotton,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Grab attention in this beautiful Printed kurta with contrast colourful embroidery. ,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0016-L,Default,Yellow Solid Layered Women's Kurti,Kiaasa,KK0016,L,simple,Regular,4949,Layered,Ankle Length,Yellow,Women's,Solid,Semi Formal,Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0016-M,Default,Yellow Solid Layered Women's Kurti,Kiaasa,KK0016,M,simple,Regular,4949,Layered,Ankle Length,Yellow,Women's,Solid,Semi Formal,Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0016-S,Default,Yellow Solid Layered Women's Kurti,Kiaasa,KK0016,S,simple,Regular,4949,Layered,Ankle Length,Yellow,Women's,Solid,Semi Formal,Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0016-XL,Default,Yellow Solid Layered Women's Kurti,Kiaasa,KK0016,XL,simple,Regular,4949,Layered,Ankle Length,Yellow,Women's,Solid,Semi Formal,Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0016-XXL,Default,Yellow Solid Layered Women's Kurti,Kiaasa,KK0016,XXL,simple,Regular,4949,Layered,Ankle Length,Yellow,Women's,Solid,Semi Formal,Yellow,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0017-L,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0017,L,simple,Regular,4949,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0017-M,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0017,M,simple,Regular,4949,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0017-S,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0017,S,simple,Regular,4949,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0017-XL,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0017,XL,simple,Regular,4949,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0017-XXL,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0017,XXL,simple,Regular,4949,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Cotton,1,"Mandarin Collar

",3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"Summer special, smart contemporary Layred kurta with beautiful embroidery. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0018-L,Default,peach Printed Layered Women's Kurti,Kiaasa,KK0018,L,simple,Regular,5449,Layered,Calf Length,Orange,Women's,Printed,Casual,peach,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0018-M,Default,peach Printed Layered Women's Kurti,Kiaasa,KK0018,M,simple,Regular,5449,Layered,Calf Length,Orange,Women's,Printed,Casual,peach,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0018-S,Default,peach Printed Layered Women's Kurti,Kiaasa,KK0018,S,simple,Regular,5449,Layered,Calf Length,Orange,Women's,Printed,Casual,peach,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0018-XL,Default,peach Printed Layered Women's Kurti,Kiaasa,KK0018,XL,simple,Regular,5449,Layered,Calf Length,Orange,Women's,Printed,Casual,peach,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0018-XXL,Default,peach Printed Layered Women's Kurti,Kiaasa,KK0018,XXL,simple,Regular,5449,Layered,Calf Length,Orange,Women's,Printed,Casual,peach,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0019-L,Default,Sky Blue Printed Layered Women's Kurti,Kiaasa,KK0019,L,simple,Regular,5449,Layered,Calf Length,Sky Blue,Women's,Printed,Casual,Sky Blue,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0019-M,Default,Sky Blue Printed Layered Women's Kurti,Kiaasa,KK0019,M,simple,Regular,5449,Layered,Calf Length,Sky Blue,Women's,Printed,Casual,Sky Blue,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0019-S,Default,Sky Blue Printed Layered Women's Kurti,Kiaasa,KK0019,S,simple,Regular,5449,Layered,Calf Length,Sky Blue,Women's,Printed,Casual,Sky Blue,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0019-XL,Default,Sky Blue Printed Layered Women's Kurti,Kiaasa,KK0019,XL,simple,Regular,5449,Layered,Calf Length,Sky Blue,Women's,Printed,Casual,Sky Blue,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0019-XXL,Default,Sky Blue Printed Layered Women's Kurti,Kiaasa,KK0019,XXL,simple,Regular,5449,Layered,Calf Length,Sky Blue,Women's,Printed,Casual,Sky Blue,Cotton,2,Round,3/4 Sleeve,contemporary,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A Double layerd kurta with solid inner and beautiful embroidery on neckline, to enhance your look gracefull for summer.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0020-L,Default,Pink Solid Layered Women's Kurti,Kiaasa,KK0020,L,simple,Regular,5999,Layered,Ankle Length,Pink,Women's,Solid,Casual,Pink,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0020-M,Default,Pink Solid Layered Women's Kurti,Kiaasa,KK0020,M,simple,Regular,5999,Layered,Ankle Length,Pink,Women's,Solid,Casual,Pink,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0020-S,Default,Pink Solid Layered Women's Kurti,Kiaasa,KK0020,S,simple,Regular,5999,Layered,Ankle Length,Pink,Women's,Solid,Casual,Pink,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0020-XL,Default,Pink Solid Layered Women's Kurti,Kiaasa,KK0020,XL,simple,Regular,5999,Layered,Ankle Length,Pink,Women's,Solid,Casual,Pink,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0020-XXL,Default,Pink Solid Layered Women's Kurti,Kiaasa,KK0020,XXL,simple,Regular,5999,Layered,Ankle Length,Pink,Women's,Solid,Casual,Pink,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0021-L,Default,Sky Blue Solid Layered Women's Kurti,Kiaasa,KK0021,L,simple,Regular,5999,Layered,Ankle Length,Sky Blue,Women's,Solid,Casual,Sky Blue,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0021-M,Default,Sky Blue Solid Layered Women's Kurti,Kiaasa,KK0021,M,simple,Regular,5999,Layered,Ankle Length,Sky Blue,Women's,Solid,Casual,Sky Blue,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0021-S,Default,Sky Blue Solid Layered Women's Kurti,Kiaasa,KK0021,S,simple,Regular,5999,Layered,Ankle Length,Sky Blue,Women's,Solid,Casual,Sky Blue,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0021-XL,Default,Sky Blue Solid Layered Women's Kurti,Kiaasa,KK0021,XL,simple,Regular,5999,Layered,Ankle Length,Sky Blue,Women's,Solid,Casual,Sky Blue,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0021-XXL,Default,Sky Blue Solid Layered Women's Kurti,Kiaasa,KK0021,XXL,simple,Regular,5999,Layered,Ankle Length,Sky Blue,Women's,Solid,Casual,Sky Blue,cotton dobby,1,Round,3/4 Sleeve,Ethnic Wear,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"A must have, beautiful double layerd kurta with solid inner layer and over all thread embroidery on the top. ",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0022-L,Default,Off-White Solid Layered Women's Kurti,Kiaasa,KK0022,L,simple,Regular,4699,Layered,Ankle Length,Off-White,Women's,Solid,Semi Formal,Off-White,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0022-M,Default,Off-White Solid Layered Women's Kurti,Kiaasa,KK0022,M,simple,Regular,4699,Layered,Ankle Length,Off-White,Women's,Solid,Semi Formal,Off-White,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0022-S,Default,Off-White Solid Layered Women's Kurti,Kiaasa,KK0022,S,simple,Regular,4699,Layered,Ankle Length,Off-White,Women's,Solid,Semi Formal,Off-White,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0022-XL,Default,Off-White Solid Layered Women's Kurti,Kiaasa,KK0022,XL,simple,Regular,4699,Layered,Ankle Length,Off-White,Women's,Solid,Semi Formal,Off-White,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0022-XXL,Default,Off-White Solid Layered Women's Kurti,Kiaasa,KK0022,XXL,simple,Regular,4699,Layered,Ankle Length,Off-White,Women's,Solid,Semi Formal,Off-White,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0023-L,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0023,L,simple,Regular,4699,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0023-M,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0023,M,simple,Regular,4699,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0023-S,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0023,S,simple,Regular,4699,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0023-XL,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0023,XL,simple,Regular,4699,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0023-XXL,Default,peach Solid Layered Women's Kurti,Kiaasa,KK0023,XXL,simple,Regular,4699,Layered,Ankle Length,Peach,Women's,Solid,Semi Formal,peach,Georgette,1,Round,3/4 Sleeve,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,Perfect to grab attention in this Double layerd kurta with solid inner layer and beautiful colourful embroidery around the neckline and waistline.,Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0024-L,Default,coral Solid Cape  Women's Kurti,Kiaasa,KK0024,L,simple,Regular,5349,Cape ,Ankle Length,Coral,Women's,Solid,Semi Formal,coral,Georgette,1,Round,Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An occasion friendly, to make your attire up to date, beautiful tiered, nicely allover embroidered cape gown.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
KK0024-M,Default,coral Solid Cape  Women's Kurti,Kiaasa,KK0024,M,simple,Regular,5349,Cape ,Ankle Length,Coral,Women's,Solid,Semi Formal,coral,Georgette,1,Round,Sleeveless,Indo Western,Wash with like colors::First wash dry clean thereafter handwash,Fashion,No,"An occasion friendly, to make your attire up to date, beautiful tiered, nicely allover embroidered cape gown.",Kurta:: Party wear:: Dress::Kurti::KIAASA::Women Kurta,Kurti
